Date,ITB,IYZ,XLY,XLP,IYT,PHO,DBA,DBB,VNQ,LQD
02/02/2016,22.960323,24.081249,68.472908,44.269779,114.581879,19.060001,19.530949,11.344705,62.847778,97.537094
03/02/2016,22.911497,24.372665,68.294952,44.172932,115.800407,19.383055,19.608879,11.567151,63.267204,97.296799
04/02/2016,23.116589,24.593431,67.901588,43.767906,119.408867,19.598415,19.511467,11.654196,63.300117,97.339706
05/02/2016,22.452484,24.116579,65.710022,43.697472,117.651855,19.285158,19.404314,11.422078,62.0994,97.32254
08/02/2016,21.690723,23.330645,64.436272,43.583015,117.292892,18.90337,19.267941,11.586493,60.323013,97.828865
09/02/2016,21.788389,23.074554,64.333252,43.873569,118.473679,18.883793,19.199751,11.335034,59.212765,97.494194
10/02/2016,22.01301,23.13637,64.22084,43.820744,118.313103,18.776108,19.209494,11.354377,59.623966,97.614326
11/02/2016,21.348906,23.401289,64.183388,43.468559,116.593903,18.521582,19.12182,11.344705,58.77689,97.940392
12/02/2016,22.052069,23.789841,65.36348,44.084881,119.380493,18.90337,19.190012,11.431749,59.45126,97.391174
16/02/2016,22.598976,24.116579,66.946289,44.437065,122.176575,19.294943,19.345869,11.451093,60.545055,96.927803
17/02/2016,22.794304,24.575769,68.388596,44.894905,124.075249,19.74526,19.394573,11.470436,61.063187,96.902054
18/02/2016,22.657576,24.637585,67.939064,44.692402,123.480141,19.843155,19.345869,11.547807,61.679966,97.691551
19/02/2016,22.69664,24.399157,68.126373,44.76284,123.574638,19.715891,19.267941,11.741239,62.0336,97.622902
22/02/2016,23.155651,24.761213,69.446938,44.982952,126.002258,20.06831,19.423798,11.944341,62.625729,97.820259
23/02/2016,23.331442,24.884844,69.06295,44.974152,124.471985,19.755051,19.472504,11.721895,62.461266,98.017662
24/02/2016,23.546301,25.344042,69.465691,45.115028,123.744644,19.735472,19.52121,11.954012,62.387238,98.112038
25/02/2016,23.966244,25.529486,70.15876,45.625702,125.152115,19.843155,19.491987,11.731566,63.661953,98.661232
26/02/2016,24.05414,25.750254,70.083809,44.982952,125.718887,19.901888,19.45302,11.847626,63.333004,98.62693
29/02/2016,23.917412,26.129969,69.718544,44.833275,124.660912,20.06831,19.45302,11.905655,63.086296,98.69558
01/03/2016,24.571753,26.403719,71.563591,45.264709,127.343628,20.420731,19.404314,11.992698,64.86264,98.157684
02/03/2016,24.786608,26.792269,71.498062,45.396778,127.664787,20.733992,19.462763,12.176457,65.331429,98.355614
03/03/2016,25.099123,26.739285,71.919495,45.625702,129.04393,20.616518,19.608879,12.244159,65.676842,98.820381
04/03/2016,25.001459,26.659813,71.853943,45.819397,129.912979,20.841675,19.832926,12.311858,65.685059,98.803169
07/03/2016,25.118656,26.862915,71.544868,45.537647,130.432526,21.135359,19.823183,12.302188,65.857773,98.915047
08/03/2016,24.640112,26.668642,70.982918,45.669712,126.946838,20.929775,19.88163,12.012041,65.183411,99.440033
09/03/2016,24.845205,26.421381,71.123398,46.0131,127.730911,20.988518,19.901114,12.176457,65.545235,99.328148
10/03/2016,24.747543,26.333076,71.301346,46.030704,127.655365,20.792728,20.086195,12.031384,65.306755,99.741287
11/03/2016,25.421408,26.597992,72.397163,46.180382,130.498642,21.184305,20.281017,12.157114,66.770622,100.025307
14/03/2016,25.343277,26.606827,72.668755,46.153965,130.564774,21.027672,20.397911,12.050728,66.778854,100.317909
15/03/2016,25.147951,26.191784,72.650032,46.268436,129.771271,21.11578,20.378428,11.924997,66.81176,100.283508
16/03/2016,25.489773,26.430212,73.240044,46.374092,131.150421,21.086412,20.475838,12.050728,67.617699,100.765465
17/03/2016,25.870657,26.571501,73.343079,46.655834,135.117844,21.311565,20.602472,12.263502,68.571686,101.07531
18/03/2016,26.212471,26.721624,73.438072,46.594776,136.988144,21.291988,20.544027,12.273172,68.27562,101.307655
21/03/2016,25.909723,26.580332,73.475693,46.621326,137.063736,21.350725,20.50506,12.302188,67.659393,101.187172
22/03/2016,25.890182,26.553839,73.353447,46.346977,136.043533,21.331148,20.612213,12.263502,67.659393,100.997833
23/03/2016,25.532286,26.225906,72.836197,46.355827,135.095657,21.066832,20.436874,12.041056,67.29348,101.505615
24/03/2016,25.620293,26.39476,72.930252,46.302731,134.518036,21.145144,20.251793,11.934669,67.318428,101.462601
28/03/2016,25.825647,26.50141,73.259407,46.550518,133.353348,21.184305,20.339462,11.963684,67.925514,101.522842
29/03/2016,26.490601,27.176826,74.002335,46.895668,134.90625,21.634617,20.388168,11.915326,69.397453,101.978966
30/03/2016,26.265688,27.29236,74.472542,47.205421,135.161972,21.556301,20.154383,11.905655,69.264404,101.85849
31/03/2016,26.48082,27.310133,74.387894,46.957619,134.849457,21.497568,20.066711,12.012041,69.688499,102.263023
01/04/2016,26.490601,27.683393,74.698242,47.453213,133.883667,21.703144,19.959558,12.147444,69.597046,102.592697
04/04/2016,26.050558,27.834475,74.115166,47.470921,132.643188,21.458408,19.745256,12.0604,69.497223,102.601326
05/04/2016,26.011444,27.523422,73.485085,47.152317,131.885605,21.252834,19.638102,11.954012,69.039856,102.929306
06/04/2016,26.539495,27.612301,74.181007,47.524025,131.55423,21.340931,19.657583,11.886312,69.206184,102.842957
07/04/2016,26.412369,27.23904,73.344017,47.010719,129.859268,21.164722,19.540689,11.62518,68.773727,103.119179
08/04/2016,26.519936,27.301245,73.231186,47.267361,131.289078,21.340931,19.764738,11.702553,69.156288,102.886124
11/04/2016,26.519936,27.159054,72.958458,46.931068,130.673615,21.331148,19.61862,11.644523,69.014908,102.877502
12/04/2016,26.686172,27.319021,73.513306,47.223122,131.62999,21.536722,19.725773,12.031384,69.513863,102.471848
13/04/2016,27.243563,27.407894,74.547775,46.860279,135.076752,21.869564,19.803701,12.18613,69.206184,102.825706
